City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Salalah,OM,17.0151,54.0924,73.49,35,0,6.91,clear sky
324,Pokhara,NP,28.2333,83.9833,55.56,56,16,7.52,few clouds
325,Eureka,US,40.8021,-124.1637,51.58,76,100,1.59,overcast clouds
326,Namatanai,PG,-3.6667,152.4333,81.32,83,100,5.1,moderate rain
327,Pringsewu,ID,-5.3582,104.9744,74.5,95,99,1.77,moderate rain
328,Acajutla,SV,13.5928,-89.8275,91.74,72,18,2.15,few clouds
329,Tanda,IN,26.55,82.65,62.51,63,5,7.36,clear sky
330,Kangalassy,RU,62.3464,129.9628,-32.87,99,100,0.4,overcast clouds
331,Flin Flon,CA,54.7682,-101.865,-14.96,70,75,0.0,broken clouds
332,Paragominas,BR,-2.9667,-47.4833,77.14,85,99,2.71,overcast clouds
333,Raga,SS,8.4596,25.678,75.69,31,19,5.12,few clouds
334,La Macarena,CO,2.1837,-73.7849,73.54,95,91,1.48,overcast clouds
335,San Ramon,US,37.7799,-121.978,53.85,89,90,6.91,mist
336,Dikson,RU,73.5069,80.5464,-15.92,100,69,3.94,broken clouds
337,Anantnag,IN,33.7333,75.15,33.55,65,6,3.06,clear sky
338,Daru,PG,-9.0763,143.2092,85.21,65,100,2.13,overcast clouds
339,Popondetta,PG,-8.7537,148.2534,89.87,56,89,3.18,overcast clouds
340,Scicli,IT,36.7902,14.7014,46.6,81,40,17.54,scattered clouds
341,Kingston,JM,17.997,-76.7936,81.55,73,20,1.01,few clouds
342,Talitsa,RU,56.8804,60.0213,-1.16,88,17,11.07,few clouds
